date,store_location,product_id,daily_qty
2023-01-01,Astoria,22.0,5.0
2023-01-01,Astoria,23.0,7.0
2023-01-01,Astoria,24.0,5.0
2023-01-01,Astoria,25.0,5.0
2023-01-01,Astoria,26.0,4.0
2023-01-01,Astoria,27.0,8.0
2023-01-01,Astoria,28.0,10.0
2023-01-01,Astoria,29.0,6.0
2023-01-01,Astoria,30.0,5.0
2023-01-01,Astoria,31.0,4.0
2023-01-01,Astoria,32.0,6.0
2023-01-01,Astoria,33.0,4.0
2023-01-01,Astoria,34.0,8.0
2023-01-01,Astoria,35.0,9.0
2023-01-01,Astoria,36.0,10.0
2023-01-01,Astoria,37.0,3.0
2023-01-01,Astoria,38.0,10.0
2023-01-01,Astoria,39.0,5.0
2023-01-01,Astoria,40.0,4.0
2023-01-01,Astoria,41.0,7.0
2023-01-01,Astoria,42.0,10.0
2023-01-01,Astoria,43.0,9.0
2023-01-01,Astoria,44.0,8.0
2023-01-01,Astoria,45.0,2.0
2023-01-01,Astoria,46.0,9.0
2023-01-01,Astoria,47.0,6.0
2023-01-01,Astoria,49.0,7.0
2023-01-01,Astoria,50.0,4.0
2023-01-01,Astoria,51.0,2.0
2023-01-01,Astoria,52.0,9.0
2023-01-01,Astoria,53.0,2.0
2023-01-01,Astoria,54.0,9.0
2023-01-01,Astoria,55.0,13.0
2023-01-01,Astoria,56.0,6.0
2023-01-01,Astoria,57.0,3.0
2023-01-01,Astoria,58.0,11.0
2023-01-01,Astoria,59.0,7.0
2023-01-01,Astoria,60.0,13.0
2023-01-01,Astoria,61.0,5.0
2023-01-01,Astoria,69.0,3.0
2023-01-01,Astoria,70.0,1.0
2023-01-01,Astoria,71.0,1.0
2023-01-01,Astoria,74.0,1.0
2023-01-01,Astoria,75.0,4.0
2023-01-01,Astoria,76.0,1.0
2023-01-01,Astoria,78.0,1.0
2023-01-01,Astoria,79.0,5.0
2023-01-01,Hell's Kitchen,22.0,7.0
2023-01-01,Hell's Kitchen,23.0,5.0
2023-01-01,Hell's Kitchen,24.0,8.0
2023-01-01,Hell's Kitchen,25.0,2.0
2023-01-01,Hell's Kitchen,26.0,7.0
2023-01-01,Hell's Kitchen,27.0,8.0
2023-01-01,Hell's Kitchen,28.0,2.0
2023-01-01,Hell's Kitchen,29.0,6.0
2023-01-01,Hell's Kitchen,30.0,8.0
2023-01-01,Hell's Kitchen,31.0,4.0
2023-01-01,Hell's Kitchen,32.0,6.0
2023-01-01,Hell's Kitchen,33.0,5.0
